Date,USDTRY,VIX,GOLD,BIST100
2022-09-28,18.442899703979492,30.18000030517578,1660.4000244140625,3198.18310546875
2022-09-29,18.523300170898438,31.84000015258789,1658.5,3146.88330078125
2022-09-30,18.497499465942383,31.6200008392334,1662.4000244140625,3179.983154296875
2022-10-03,18.516199111938477,30.100000381469727,1692.9000244140625,3392.08203125
2022-10-04,18.523700714111328,29.06999969482422,1721.0999755859375,3457.981689453125
2022-10-05,18.569700241088867,28.549999237060547,1711.4000244140625,3484.38134765625
2022-10-06,18.54833984375,30.520000457763672,1711.699951171875,3553.881103515625
2022-10-07,18.575300216674805,31.360000610351562,1700.5,3567.5810546875
2022-10-10,18.577999114990234,32.45000076293945,1667.300048828125,3581.98095703125
2022-10-11,18.583099365234375,33.630001068115234,1678.699951171875,3571.5810546875
2022-10-12,18.5841007232666,33.56999969482422,1670.300048828125,3517.781494140625
2022-10-13,18.509899139404297,31.940000534057617,1670.0,3553.381103515625
2022-10-14,18.552900314331055,32.02000045776367,1641.699951171875,3626.980712890625
2022-10-17,18.58690071105957,31.3700008392334,1657.0,3847.57958984375
2022-10-18,18.54891014099121,30.5,1649.0,3841.579833984375
2022-10-19,18.57990074157715,30.760000228881836,1627.5,3880.279541015625
2022-10-20,18.59309959411621,29.979999542236328,1630.800048828125,3900.879150390625
2022-10-21,18.5856990814209,29.690000534057617,1651.0,3934.579345703125
2022-10-24,18.554330825805664,29.850000381469727,1648.699951171875,3977.47900390625
2022-10-25,18.59079933166504,28.459999084472656,1652.800048828125,3974.97900390625
2022-10-26,18.606800079345703,27.280000686645508,1664.0,3976.37890625
2022-10-27,18.59040069580078,27.389999389648438,1660.699951171875,3934.479248046875
2022-10-28,18.60890007019043,25.75,1639.5999755859375,3878.9794921875
2022-10-31,18.572969436645508,25.8799991607666,1635.9000244140625,3978.97900390625
2022-11-01,18.616670608520508,25.809999465942383,1645.0,4054.678466796875
2022-11-02,18.604299545288086,25.860000610351562,1645.699951171875,4071.87841796875
2022-11-03,18.614999771118164,25.299999237060547,1627.300048828125,4105.47802734375
2022-11-04,18.60919952392578,24.549999237060547,1672.5,4216.9775390625
2022-11-07,18.60007095336914,24.350000381469727,1676.5,4331.67724609375
2022-11-08,18.444000244140625,25.540000915527344,1712.0999755859375,4360.27685546875
2022-11-09,18.54050064086914,26.09000015258789,1710.0999755859375,4360.97705078125
2022-11-10,18.585039138793945,23.530000686645508,1750.300048828125,4467.076171875
2022-11-11,18.482650756835938,22.520000457763672,1766.0,4455.4765625
2022-11-14,18.491619110107422,23.729999542236328,1773.5999755859375,4570.17578125
2022-11-15,18.591100692749023,24.540000915527344,1773.800048828125,4656.97509765625
2022-11-16,18.60770034790039,24.110000610351562,1773.0,4668.47509765625
2022-11-17,18.603679656982422,23.93000030517578,1760.800048828125,4507.17626953125
2022-11-18,18.599199295043945,23.1200008392334,1751.9000244140625,4526.67626953125
2022-11-21,18.610429763793945,22.360000610351562,1737.4000244140625,4570.275390625
2022-11-22,18.60059928894043,21.290000915527344,1738.300048828125,4780.6748046875
2022-11-23,18.61210060119629,20.350000381469727,1744.9000244140625,4854.17431640625
2022-11-24,18.608999252319336,20.350000381469727,1744.9000244140625,4858.17431640625
2022-11-25,18.626800537109375,20.5,1753.300048828125,4874.27392578125
2022-11-28,18.59602928161621,22.209999084472656,1740.0999755859375,4923.17431640625
2022-11-29,18.618499755859375,21.889999389648438,1748.4000244140625,4962.4736328125
2022-11-30,18.63990020751953,20.579999923706055,1746.0,4977.57373046875
2022-12-01,18.6299991607666,19.84000015258789,1801.0999755859375,5046.17333984375
2022-12-02,18.632600784301758,19.059999465942383,1795.9000244140625,4962.9736328125
2022-12-05,18.630699157714844,20.75,1767.4000244140625,4957.7734375
2022-12-06,18.62459945678711,22.170000076293945,1769.300048828125,5000.07373046875
